cellid,Arginase1,Au,CD11b,CD123,CD133,CD14,CD141,CD163,CD20,CD206,CD208,CD209,CD3,CD31,CD38,CD4,CD40,CD45,CD47,CD68,CD8,CD86,Calprotectin,Chym_Tryp,Fe,FoxP3,GFAP,GLUT1,HLA1,HLADR,ICOS,IDO1,Ki67,LAG3,NeuN,Noodle,Nuclear,Olig2,PD1,PDL1,TIM3,TMEM119,Tox,chan_39,chan_48,chan_70,iNOS,area,major_axis_length,minor_axis_length,perimeter,convex_area,equivalent_diameter,centroid.0,centroid.1,fov
566190,0.0,6.32484370826656,0.0002877089405925,0.0031717283356708,0.0265586979321405,0.014741068982848,0.0009041902625555,0.0,0.0051304690852295,0.0026598136228045,0.0119197673690585,0.0030857032470176,0.0086557074949497,0.0,0.0004272430476455,0.0,0.0021794901845113,0.0106688753729607,0.002078876471607,0.0,0.0,0.0223683530670717,0.0014095915904592,0.0,0.0092069430228991,0.0,0.0025503844157584,0.0014295342042076,0.0030665335236533,0.0031173555577019,0.0,0.0037994429650651,0.0006561159773629,0.0003293454575644,8.35162623264519e-05,0.0573742410056611,0.0640605942815796,0.0019748592004874,0.0594807687674842,0.0,0.0098498203361469,0.0017250134917293,0.0,25.3974338107639,0.0025279065992078,0.0074394258678468,0.0002904723045186,117,13.1635469595807,11.5954912235644,38.9705627484771,121,12.2052868353847,4.51282051282051,739.461538461539,Stanford_TA551_R10C4
566191,0.0148214175508841,4.65809742015797,0.0239911750055192,0.0114577232763873,0.032443939216918,0.0119467246897845,0.0126088118529521,0.0148321534368778,0.0171029137161037,0.0051092790091209,0.0202772646743657,0.026771846877906,0.0178985527428468,0.0366293347044213,0.0247502310776468,0.0287680137542538,0.0069671582793847,0.0285786184700546,0.0010972958715464,0.0020417084902066,0.0013905385633326,0.0514947568290225,0.0083168002856092,0.0009382429537349,0.00944854924967,0.0156208626546249,0.0144446703188443,0.0121731856302997,0.0075713768464476,0.0134903391429946,0.0274267067021003,0.0725030713740282,0.0036082235566526,0.0303666446510305,0.0017343175864155,0.0185148155296241,0.0318958408229953,0.0260495020919407,0.180159726837738,0.0330404795854364,0.0484644003751067,0.0243819615613554,0.0008617024960214,25.4045050652473,0.0009281006488171,0.0015426295144217,0.0055715527461887,455,33.7087615818133,17.6495076130191,84.6274169979695,471,24.0691502312504,6.97362637362637,199.492307692308,Stanford_TA551_R10C4
566192,0.0099687514435159,6.89724109790943,0.0231652544369311,0.0007036882553621,0.112287506055103,0.0091554023316011,0.0132333738090284,0.0,0.0,0.0,0.0155280834633903,0.0002587012395106,0.0038624928156968,0.0135063607020347,0.0001686318578337,0.0,0.0,0.0685329055059661,0.0001369220992597,0.0,0.0,0.0306468448919961,0.0081213867088478,0.0,0.0133201700669747,0.0,0.0003037966376073,0.0008950383372544,0.010166278458878,6.05715522875034e-05,0.0031908489873846,0.0669064872333182,0.0078098831506765,0.0,0.0022820707169116,0.0728981539055153,0.0182956799312874,0.0,0.116543271070034,0.0016317427821698,0.019240977024785,0.0015611709888512,0.0,36.2378811306424,0.0012501251918298,0.006421324831468,0.0,54,9.81930026883579,7.16480485778884,25.6568542494924,56,8.29185958731205,4.11111111111111,490.444444444445,Stanford_TA551_R10C4
566193,0.0693512466548928,5.54967025058721,0.0163300827004731,0.0605880624658363,0.0456838935014936,0.0122442688145061,0.0176312734664607,0.0188516935832987,0.0012150082693404,0.0507796449176512,0.0044718648412055,0.011245236325876,0.0141412072799096,0.0173512203798566,0.0341700587055002,0.0171027905028916,0.0185780568135036,0.0127257128107668,0.0135524514442951,0.001921182829487,1.87904255637163e-05,0.0340226966283229,0.0005912923818189,0.0,0.0196691743688645,0.0324923418442114,0.0064502516094008,0.0129052188016014,0.0252935213486922,0.0083877501401206,0.0338626540553152,0.0786751487700921,0.002928119352542,0.21620279288853,0.0068457735359146,0.0404459791245803,0.028088011772804,0.0121933343018489,0.15867830563569,0.0041165680884304,0.0282081449645165,0.0019443780514621,0.0015069486829683,22.2020718443627,0.001114296854711,0.0044986157635458,0.0050265673522858,153,16.1359932246843,12.3282323300377,44.7279220613579,157,13.9572794750438,4.84313725490196,590.163398692811,Stanford_TA551_R10C4
566194,0.0035074441844147,33.9910043569712,0.0039834226362354,0.0053349267127945,0.0546170492864131,0.0343444898576687,0.0335348185437746,0.0060767828673483,0.0,0.0057023905877177,0.0,0.0,0.0016035293878315,0.0021559642938966,0.0001573625173546,0.0016847408632356,0.0054870627390674,0.0641796197502031,8.30830764810989e-05,0.0027689720875785,0.0,0.0058394031796236,0.0,0.0,0.0201857291735135,0.0,0.0076160331518196,0.0001716497808813,0.0024464958661203,0.007379374736589,0.048222730365254,0.0040140322371014,0.0031674869948262,0.0098276188923915,0.0002257768090535,0.0950287598830003,0.0279489462192241,0.0030747003839262,0.0060325041315276,0.0010595852704417,0.0170583985965484,0.0030469265038558,0.0023602007867814,41.1366887019231,0.0017555283812376,0.0078386380122258,0.0008019795313077,130,13.3687960427877,12.6669126854861,41.556349186104,137,12.8655019651614,5.06923076923077,667.346153846154,Stanford_TA551_R10C4
566195,0.0069721117942631,5.55433211089872,0.0003254554648998,0.0018005162890783,0.0271154369819254,0.0010537870931639,0.0121229250677192,0.018978205468006,0.0,0.0005666711501199,0.0027235883689251,0.0,0.0,0.0026696083652299,0.0004400760993986,0.0339146594529244,0.0071701957644187,0.0039496523472369,0.0001213427742736,0.0007238597170127,0.0,0.0334175525991716,0.0009018260266793,0.0,0.0069239558057582,0.0,0.0215327762413998,0.0087705537508801,0.004960956720231,0.002551772847266,0.0071658452617794,0.0433353496840232,0.0002817534388638,0.038743550221073,0.0003531976053071,0.0545066265349692,0.0094379972904286,0.0080250682741225,0.0224783325988875,0.0023388851868556,0.0011168674679529,0.0001589560996195,0.0,17.9706026983599,0.0018557582763915,0.006102553073396,0.0,141,15.6986382284563,11.5791917276487,42.7279220613579,146,13.398760233979,4.54609929078014,711.063829787234,Stanford_TA551_R10C4
566196,0.0046658514358596,6.78483519802204,0.0,0.0001333237378948,0.025840457276032,0.0047215488217183,0.0003705088470189,0.0,0.0,0.0,0.0,0.0,0.0007967742250136,0.0411289702088492,2.58997001911125e-05,0.0,0.0,0.0072093517523423,0.0001498993586578,0.0,0.0,0.0173123831629926,0.0,0.0,0.0220014304783992,0.0,0.0013649170094405,0.0060943138151068,0.0004863631450774,0.0,0.0,0.0,0.0,0.0026917033540988,0.0,0.0817867786209018,0.0184716930279152,0.0001598301938534,0.0,0.0,0.0,0.0,0.0,26.3800916726879,0.0018719849903459,0.0115765505443418,0.0,173,17.0659530043284,13.1243305514757,47.556349186104,178,14.8415107465239,5.19653179190751,773.670520231214,Stanford_TA551_R10C4
566197,0.0186589937102113,30.1480939998183,0.0095344725949886,0.0035959267317678,0.0513912677673065,0.0119520617129324,0.0112563501886831,0.0028921674925114,0.0,0.0002723105657308,0.0148864868147379,0.0007407131508692,0.0,0.0391066062392883,0.0092785480139894,0.0009557363248985,0.001829277597444,0.0291107061648291,0.0022788917302106,0.0,0.0010583832971449,0.0918944970089975,0.008508269772079,0.0016996318448689,0.0071879583735798,0.0418176394852374,0.0068284426795508,0.0149952307695032,0.007689458884244,0.0030276708735761,0.0016156114708929,0.0628508733087347,0.0013259220359512,0.0719251698543866,0.0045709011895041,0.0483903607656789,0.0147671436154565,0.0054683107722558,0.239258737157827,0.0392079378316529,0.0098250161083477,0.0101828494036508,0.0059412610739436,16.9294064543968,0.000856167615153,0.0043444986953291,0.0020699836783766,172,16.2030177951673,13.6880693274094,46.7279220613579,176,14.7985540406638,5.55813953488372,500.924418604651,Stanford_TA551_R10C4
566198,0.0648823821291638,8.84583023954029,0.0148855938980931,0.018528804504803,0.0571783389641927,0.0151555718762113,0.0293748624294051,0.0248154257814344,0.0313845697641738,0.0179420723012225,0.0321911164107921,0.0115984258765704,0.0435967444142651,0.0421951892815799,0.0245748924465771,0.0337750655935703,0.0207285040383941,0.0151554597118429,0.0038431113476398,0.0018691621793721,0.0021040527076067,0.0438827361196203,0.0082129287499076,0.000203073984461,0.0091591541432152,0.0307821043717375,0.0061461580000333,0.0604527858123532,0.0318925440756388,0.0032612446032655,0.0239549889203912,0.0711395204842478,0.00521409347073,0.0337917410794153,0.0089250582017506,0.0140476108582551,0.0502153585764987,0.0127603352372938,0.157931288594884,0.0292038704532886,0.0570355674227688,0.0203343798382502,0.0058682456141991,33.6985589650052,0.0009300191540363,0.0016209761465876,0.0043530618136088,484,30.1158978492171,21.3895900551713,84.2842712474619,496,24.8243416761013,8.2396694214876,437.345041322314,Stanford_TA551_R10C4
566199,0.002547793814479,10.5790116657582,0.0081664955897965,0.0151409798348126,0.0377986788453157,0.0092941649777052,0.0001714989178777,0.0005128806811375,0.0,0.0009015240191719,0.0,0.0036937245854467,0.000793399552221,0.0019110880818255,8.79170266238366e-05,0.0,0.0035195172915703,0.0239090760977019,0.001489881869238,5.57717329729859e-06,0.0,0.0460330585293031,0.0,0.0,0.0089922875396965,0.0,0.0058433062996519,0.026882410833187,0.0020726955878384,0.0002796039926291,0.001897844307996,0.0069524346417199,0.0005811699824425,0.0223757409707471,7.35224758357214e-05,0.0728315235108368,0.0219971597656723,0.0031338066622912,0.0078797857605845,0.0001702928125608,9.11846145829626e-05,0.0,0.0,25.5020193647045,0.0013890321864638,0.0100987123888592,0.0,258,19.9411464463049,16.739192550294,58.3847763108502,265,18.1244531653143,6.8062015503876,797.368217054264,Stanford_TA551_R10C4
